,Order,MAGRichness,MAGShannons,GeneRichness,GeneShannons,Aerobic,Microaerophillic,Light_driven,N_Reducer,DNRA,Methanotroph,StreamOrder_WHOND,Lat,Long,WC_Height,AvgNPOC,SpC,SO4,NO3,TN,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,PrecipSite,AridityWs,NPPWs
S19S_0011,35,449,4.428042483,12595,3.822701567,4194.83363,2603.270056,1617.966359,122.8649974,380.6985331,9.748793718,5,33.95569,-83.437673,100,3.5,51.4,3.03,2.99,1.29,0.037609895,0,0.711361474,0,11.48600259,10.77686801,4.613071378,1.265236461,0.409571758,34.89777631,4.495045589,7.098026431,0.696218543,1.534157109,18.9581485,0,2.857649318,0.200866532,1300.535533,22.15875118,16.15299044,431.0000463,167.0862211,1010.3724,0.014846011,1213.099976,0.9087,8020
S19S_0085,36,218,2.486438122,2440,3.466648965,1296.237189,1062.966527,250.5795384,72.5206305,86.62680857,0.147932143,5,43.64819,-115.98891,6.75,1.243333333,112.9,4.04,0,0.4,0,0.131801195,0.002187935,0,1.009338106,0.23139599,0.04130821,0.003238144,0.004813457,0.152367783,64.7979661,0.283993944,27.15078372,6.14923466,0.003588213,0,0.086467185,0.083316559,739.9739137,13.75329893,6.909119008,255.6534136,1.983575746,1028.367,0,462.4200134,0.4321,5144
S19S_0081,38,385,2.660733392,5977,3.751958571,24475.51184,18449.79592,10565.89319,959.3006047,108.1852637,0.243228538,4,38.9603293,-76.9259674,23.5,2.683333333,423,11.64,2.95,0.99,0.041165795,0,0.231557595,0,17.9322833,25.21060163,14.47142348,5.397607547,0.188024767,17.43999185,0.684021137,5.742165249,0.283426497,1.582464606,4.954406309,2.142370872,3.688712493,0.050942671,1094.534366,18.77819996,13.09558959,408.3566219,1193.215377,194.3361,0.108060211,1085.599976,0.8449,18073
S19S_0054,40,281,2.942018621,3678,3.730748748,14698.3816,9224.667411,4591.644529,382.2273655,33.68367238,0.114654792,5,37.5728,-77.02396,40,4.296666667,121.4,7.06,0,0.44,0.027651405,0,2.092180736,0,5.61951968,1.43535931,0.505517964,0.166436322,0.120685815,21.50862045,11.04990375,22.03872303,4.960687243,3.817628424,10.69239622,8.837665638,6.829193248,0.325482178,1116.345194,20.25589042,13.71673338,359.3658253,33.25535674,3580.2882,0.008937828,1134.189941,0.8369,5978
S19S_0025,42,322,1.735555551,6486,2.976919666,26138.74368,9077.80403,15218.93634,1346.1542,91.04896067,1.521868773,3,33.37834,-97.78338,5.5,1.836666667,726,27.12,0,0.27,0,0,0.130307796,0,3.088444544,1.451359245,0.485284206,0.073391747,0.01947128,19.56414289,0.010484535,0.011982326,0.925634689,67.9248109,6.049576874,0.262113383,0,0.002995582,896.5193891,23.86909393,17.43406665,58,8.496368573,60.0885,0,898.1799927,0.44,4625
S19S_0066,46,373,2.744187663,4538,3.81290041,33215.76176,15934.24354,8136.721067,2265.46427,92.95911625,2.285705122,7,35.198601,-106.643074,5,2.57,208,21.56,0.69,0.56,0.003631358,0.235867359,0.260003058,0.000253,1.284514578,0.523878836,0.276720138,0.05590626,0.680289076,3.385205018,32.07770034,1.10221412,44.87594098,9.61091543,0.948563439,2.23647402,1.153471149,1.527950452,502.3405791,14.42694365,6.494132964,94.26198861,11.42185641,36625.4154,0.001310565,247.3099976,0.3511,3591
S19S_0083,47,33,1.171325516,157,2.647255009,11750.26082,3305.364658,151.2205417,15.2668287,3.052106485,0,5,40.31083,-88.3227,5.5,3.046666667,725,78.7,0.61,0.53,0.001608753,0,0.151882386,0,2.368004216,2.950485473,0.677896407,0.236438452,0.003330119,0.617375113,0.001592666,0.240202935,0.00130309,0.034604281,1.605841318,90.59168976,0.505454156,0.013899627,971.0339365,16.25658903,10.62993584,279.0946854,13.23030931,621.5994,0.014478778,1010.75,0.7853,4590
S19S_0042,49,115,2.18148913,813,2.810467022,12634.22611,9655.538768,8595.488011,186.8414893,0.6904183,0,1,25.40982,-80.96423,55,13.40666667,6880,209.18,0.54,1.21,0,0,3.338590957,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7681388,63.89327024,1385.023507,29.48170734,24.25985944,204,0.005853079,6.8472,0,1381.76001,0.6935,32763
S19S_0089,50,469,4.534985193,29441,4.971903821,16994.75459,11433.99478,5333.645658,485.3149066,1321.990981,6.232754558,1,37.21014,-80.44513,10,1.706666667,511,22.55,2.83,0.81,0,0,0,0,16.9101684,27.76506484,28.49850378,9.845684445,0.011735023,1.830663616,0,0.77451153,0,0,12.36284692,2.000821452,0,0,1018.020821,17.82673174,11.73841749,515.4103738,1661.597639,15.3387,0.065194573,1019.400024,0.8201,16672
S19S_0028,51,115,1.075151,1309,0.984803311,6563.935078,2346.008724,2174.933323,56.11837922,2105.872346,0.537552033,4,33.750837,-111.508141,10,1.736666667,490,14.1,0,0.78,0,0,0.00066,0,0.417679799,0.285051616,0.109203802,0.016825963,0.032662164,0.00033,12.01307806,0.001979525,75.23812037,11.61255415,0.030682639,0,0.17815726,0.063014883,603.4815981,24.05775201,16.57369514,82.36426231,0.358877201,272.7927,0,399.9500122,0.2448,3339
S19S_0008,52,36,2.344563404,267,2.473897169,722.858683,380.7335404,95.156955,15.39003241,16.59190399,0,1,36.961273,-119.028254,6,1.87,28.1,0.23,0,0.15,0,0,0,0,0.093984962,0,0,0,0,0,96.59304511,0,3.312969925,0,0,0,0,0,1210.914351,13.85415139,8.589035122,446,0.364040628,3.8304,0,1115.72998,0.5223,5605
S19S_0032,53,45,2.48431494,326,2.747272559,857.3856209,485.1288228,105.8339321,19.81535269,15.69937097,0,1,36.95497,-119.02375,5,2.026666667,39.4,2.18,0.18,1.5,0,0,0,0,0.029515939,0,0,0,0,0,96.2514758,0,3.659976387,0,0,0,0.059031877,0,1204.211754,13.58606256,8.411040159,446,0.364040628,3.0492,0,1115.72998,0.517,5496
S19S_0020,54,149,2.366207237,2433,3.458800577,8998.924193,5587.552369,3963.500189,18.57882441,1.29262958,0,7,31.8531,-88.15748,21.5,3.81,217,36.24,0.38,0.39,0.025508597,0,1.684312089,0,4.051435808,2.053844984,0.861712492,0.281632882,0.186685691,15.7146287,19.27995177,13.61304241,5.171598105,4.120520877,15.07485705,3.227002674,13.54575044,1.133024023,1419.325395,23.25567067,16.84369161,593.0383522,29.29048476,46729.3446,0.033747531,1391.02002,0.9781,5319
S19S_0079,55,385,2.47510246,8316,3.409697129,43836.81978,33022.92005,9253.976222,778.6281468,68.42078276,1.714640198,6,43.6367,-123.5719,19,1.333333333,89.6,3.7,0,1.25,0.005156822,0,0.40983018,0,2.198000142,0.55480013,0.333260126,0.116720294,0.107595637,0.168867443,64.27052487,2.959663764,13.23292358,8.354165922,6.692480162,0.031559752,0.323180971,0.246427023,1294.576568,16.63992958,10.47200901,768.1560646,9.519096689,10277.6472,0.000486,1255.939941,1.0956,9109
S19S_0037,56,288,2.457493866,3132,3.385776406,7373.575841,2589.66806,3625.455912,348.2860115,477.1890268,0.191305722,2,39.8579143,-75.7831181,29,0.925,239,18,18.17,4.26,0,0,0.124610592,0,6.91588785,0.778816199,0.186915888,0.010384216,0,15.54517134,0.529595016,5.825545171,0.425752856,0.010384216,40.91381101,24.69366563,3.634475597,0.404984424,1193.014896,17.07717955,11.49977106,538,41.22403135,8.667,0.115380178,1188.619995,0.92,6986
S19S_0038,57,212,2.865251605,2019,3.264351134,12128.04182,4997.123669,3427.959302,402.6578372,1016.476744,0.220946737,2,39.8595761,-75.784143,7.1,0.816666667,237,17.88,18.18,4.23,0,0,0.124610592,0,6.91588785,0.778816199,0.186915888,0.010384216,0,15.54517134,0.529595016,5.825545171,0.425752856,0.010384216,40.91381101,24.69366563,3.634475597,0.404984424,1193.014896,17.07717955,11.49977106,538,41.22403135,8.667,0.115380178,1188.619995,0.92,6986
