SampleName,OmernikISample,OmernikIISample,OmernikIIISample
dobsoncreek_2019_sw_WHONDRS-S19S_0087,North American Deserts,Cold Deserts,Northern Basin and Range
blackwarrior_2019_sw_WHONDRS-S19S_0021,Eastern Temperate Forests,Southeastern USA Plains,Southeastern Plains
eastriver_2019_sw_WHONDRS-S19S_0100,Northwestern Forested Mountains,Western Cordillera,Southern Rockies
greatmiami_2019_sw_WHONDRS-S19S_0099,Eastern Temperate Forests,Southeastern USA Plains,Interior Plateau
morescreek_2019_sw_WHONDRS-S19S_0085,Northwestern Forested Mountains,Western Cordillera,Idaho Batholith
muddycreek_2019_sw_WHONDRS-S19S_0082,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Middle Atlantic Coastal Plain
nebranchanacostia_2019_sw_WHONDRS-S19S_0081,Eastern Temperate Forests,Southeastern USA Plains,Southeastern Plains
poseycreek_2019_sw_WHONDRS-S19S_0013,Eastern Temperate Forests,Ozark/Ouachita-Appalachian Forests,Blue Ridge
redbuttecreek_2019_sw_WHONDRS-S19S_0086,Northwestern Forested Mountains,Western Cordillera,Wasatch and Uinta Mountains
sangamon_2019_sw_WHONDRS-S19S_0083,Eastern Temperate Forests,Central USA Plains,Central Corn Belt Plains
tombigeeriver_2019_sw_WHONDRS-S19S_0020,Eastern Temperate Forests,Southeastern USA Plains,Southeastern Plains
lewisrun_2019_sw_WHONDRS-S19S_0014,Eastern Temperate Forests,Ozark/Ouachita-Appalachian Forests,Ridge and Valley
mcraecreek_2019_sw_WHONDRS-S19S_0031,Northwestern Forested Mountains,Western Cordillera,Cascades
watershed3_2019_sw_WHONDRS-S19S_0084,Northern Forests,Atlantic Highlands,Northern Appalachian and Atlantic Maritime Highlands
yakimariver_2019_sw_WHONDRS-S19S_0060,North American Deserts,Cold Deserts,Columbia Plateau
blueriver_2019_sw_WHONDRS-S19S_0024,Great Plains,South-Central Semiarid Prairies,Cross Timbers
cachelapoudre_2019_sw_WHONDRS-S19S_0077,Northwestern Forested Mountains,Western Cordillera,Southern Rockies
logan1_2019_sw_WHONDRS-S19S_0097,North American Deserts,Cold Deserts,Central Basin and Range
logan2_2019_sw_WHONDRS-S19S_0098,Northwestern Forested Mountains,Western Cordillera,Wasatch and Uinta Mountains
