genome	taxonomy
NASQAN2014_144_B_bin.8.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__NASQAN2014_144_B_bin.8
NASQAN2014_144_B_bin.81.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__SYFN01; s__NASQAN2014_144_B_bin.81
NASQAN2014_144_F_bin.16.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__AcAMD-5; g__ATZT02; s__ATZT02 sp016463095
NASQAN2014_144_F_bin.27.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__KMS-5; s__NASQAN2014_144_F_bin.27
NASQAN2014_144_F_bin.3.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA953; s__UBA953 sp002293065
NASQAN2014_144_F_bin.42.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA953; s__UBA953 sp003569205
NASQAN2014_185_A_bin.19.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__NASQAN2014_185_A_bin.19
NASQAN2014_185_A_bin.22.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__NASQAN2014_185_A_bin.22
NASQAN2014_185_A_bin.4.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__UBA3006; s__NASQAN2014_185_A_bin.4
NASQAN2014_185_A_bin.71.fa	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__Limnocylindraceae; g__Limnocylindrus; s__Limnocylindrus sp003476885
NASQAN2014_185_B_bin.10.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__SXYR01 sp005788265
NASQAN2014_185_B_bin.11.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__AcAMD-5; g__AcAMD-5; s__AcAMD-5 sp002293025
NASQAN2014_185_B_bin.20.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Aquiluna; s__NASQAN2014_185_B_bin.20
NASQAN2014_185_B_bin.32.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA953; s__NASQAN2014_185_B_bin.32
NASQAN2014_185_B_bin.33.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans; s__Limnohabitans sp005789825
NASQAN2014_185_B_bin.71.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__JJ008; s__NASQAN2014_185_B_bin.71
NASQAN2014_185_B_bin.8.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__ER46; s__NASQAN2014_185_B_bin.8
NASQAN2014_185_B_bin.89.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__F1-60-MAGs027; s__NASQAN2014_185_B_bin.89
NASQAN2014_185_B_bin.99.fa	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__RFN20; f__CAG-826; g__UBA970; s__NASQAN2014_185_B_bin.99
NASQAN2014_185_F_bin.10.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__MAG-120531; s__NASQAN2014_185_F_bin.10
NASQAN2014_185_F_bin.15.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__UBA3064; s__UBA3064 sp016868095
NASQAN2014_185_F_bin.7.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__NASQAN2014_185_F_bin.7
NASQAN2014_188_A_bin.31.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__Planktophila; s__NASQAN2014_188_A_bin.31
NASQAN2014_188_A_bin.37.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingorhabdus_B; s__NASQAN2014_188_A_bin.37
NASQAN2014_188_A_bin.39.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__NBD-18; s__NASQAN2014_188_A_bin.39
NASQAN2014_188_B_bin.13.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingorhabdus_B; s__NASQAN2014_188_B_bin.13
