function_class,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,DamDensWs,PopDen2010Ws
N_Reducer,-17.76567581057781,-17.765675811074278,-17.76567581058478,-17.76567581109802,-17.76567581076188,-17.765675810631418,-17.765675810566645,-17.765675811050517,-17.765675811249285,-17.76567582378771,-17.765675810626835,-17.765675866566017,-17.765675819155728,-17.765675813302582,-17.76567581105292,-17.765675811387382,-17.76567581163191,-17.765675810552253,-17.765675813187197
DNRA,13.01612348732323,13.016123487686968,13.016123487328336,13.016123487704363,13.016123487458088,13.016123487362504,13.016123487315047,13.01612348766956,13.016123487815188,13.016123497001537,13.016123487359147,13.016123528343305,13.01612349360789,13.016123489319549,13.01612348767132,13.016123487916364,13.016123488095518,13.016123487304503,13.01612348923501
Methanotroph,1.8459862189468803,1.845986218998467,1.8459862189476048,1.845986219000934,1.8459862189660066,1.8459862189524505,1.84598621894572,1.8459862189959981,1.8459862190166516,1.8459862203194874,1.8459862189519745,1.8459862247644725,1.84598621983819,1.8459862192300045,1.8459862189962477,1.8459862190310006,1.845986219056409,1.8459862189442247,1.845986219218015
Aerobic,-22.46227321117371,-22.46227321282527,-22.46227321117371,-22.462273217795182,-22.462273215433633,-22.462273212926778,-22.46227321186975,-22.462273211483506,-22.462273224199,-22.462273239595607,-22.462273218693973,-22.462273215098453,-22.46227321780054,-22.462273220378403,-22.462273220022823,-22.462273225969216,-22.462273211905067,-22.46227321121439,-22.462273298554813
Microaerophillic,-19.321757031377572,-19.321757032798224,-19.321757031377572,-19.32175703707328,-19.321757035041905,-19.32175703288554,-19.3217570319763,-19.321757031644054,-19.32175704258176,-19.321757055825724,-19.321757037846407,-19.321757034753585,-19.321757037077887,-19.32175703929533,-19.321757038989468,-19.321757044104476,-19.32175703200668,-19.321757031412567,-19.321757106541668
Light_driven,31.264290301638265,31.264290303937003,31.264290301638265,31.264290310854417,31.264290307567475,31.264290304078287,31.26429030260706,31.26429030206946,31.264290319767618,31.26429034119751,31.264290312105402,31.26429030710095,31.26429031086187,31.26429031444989,31.264290313954973,31.26429032223151,31.264290302656214,31.26429030169489,31.264290423260334
N_Reducer,-12.242501838687174,-12.242501839587316,-12.242501838687174,-12.242501842296043,-12.24250184100894,-12.24250183964264,-12.242501839066534,-12.24250183885602,-12.242501845786283,-12.24250185417782,-12.242501842785906,-12.242501840826257,-12.242501842298962,-12.242501843703963,-12.242501843510162,-12.242501846751097,-12.242501839085783,-12.242501838709346,-12.242501886312064
DNRA,-16.133891211528642,-16.133891212714904,-16.133891211528642,-16.133891216284624,-16.133891214588402,-16.133891212787812,-16.133891212028587,-16.13389121175116,-16.13389122088427,-16.13389123194313,-16.133891216930195,-16.133891214347653,-16.133891216288472,-16.133891218140064,-16.133891217884663,-16.133891222155757,-16.133891212053953,-16.133891211557863,-16.133891274291535
Methanotroph,-46.166607195020326,-46.166607198414766,-46.166607195020326,-46.166607208629415,-46.166607203775726,-46.166607198623396,-46.1666071964509,-46.16660719565704,-46.166607221791146,-46.16660725343572,-46.166607210476684,-46.16660720308683,-46.16660720864042,-46.16660721393869,-46.16660721320787,-46.166607225429466,-46.166607196523486,-46.166607195103936,-46.1666073746143
Aerobic,-13.389294066185798,-13.389294066645409,-13.389294066185798,-13.389294073606898,-13.389294073148728,-13.389294069166302,-13.389294067003267,-13.389294066450423,-13.389294088733237,-13.389294069090045,-13.389294070771829,-13.389294066635625,-13.389294067177016,-13.38929407843465,-13.389294066185798,-13.389294068032122,-13.389294066315577,-13.389294066210097,-13.389294174140131
