user_genome,classification
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.27,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__SYIM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__UBA955 sp002293105
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.34,d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__UBA1018;f__UBA1018;g__CAIOHW01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.47,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.50,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA2093;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.57,d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA970;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.58,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__VGRA01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.60,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.64,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA953;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.66,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.68,d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__OMII01;g__OMII01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.69,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA961;g__UBA961;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.74,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__CAIKBL01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.76,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__UBA964 sp903885195
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.79,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA2463;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.8,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.81,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.82,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__SYIM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.84,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__RGVZ01;g__CAIYRB01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.90,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SXZD01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.97,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA954;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.104,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.105,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__
