SampleName,Sample,Latitude,Longitude,streamorde,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,AridityWs,NPPWs
NASQAN2016_016,NASQAN2016_016,38.45602,-121.50134,7,0.00533803,0.020277465,1.245053289,0.011947116,2.427317743,1.058845667,0.995237998,0.322070568,0.363337068,0.647815312,40.78222792,1.023200717,24.45614296,13.24314731,0.970129112,10.83212768,0.427209119,1.19419042,991.4558218,19.23557779,12.35026081,455.6343236,37.72813098,59572.5345,8.90E-04,0.5318,5321
NASQAN2015_208,NASQAN2015_208,37.67604,-121.26633,7,0.003430476,0.145872227,1.023344602,0.097645585,1.880374683,1.161232185,1.10597976,0.333429763,2.396705739,0.563606368,25.81709996,0.835812166,18.38155726,17.8791372,0.421988769,26.43778862,0.219927847,1.44436949,705.7944583,19.70222051,12.76421757,268.5326867,40.61162079,35855.0775,4.74E-04,0.3108,5623
NASQAN2015_206,NASQAN2015_206,38.45602,-121.50134,7,0.00533803,0.020277465,1.245053289,0.011947116,2.427317743,1.058845667,0.995237998,0.322070568,0.363337068,0.647815312,40.78222792,1.023200717,24.45614296,13.24314731,0.970129112,10.83212768,0.427209119,1.19419042,991.4558218,19.23557779,12.35026081,455.6343236,37.72813098,59572.5345,8.90E-04,0.5318,5321
NASQAN2015_174,NASQAN2015_174,31.42717,-81.60539,7,0.036244965,0,1.502163943,0,6.033021417,3.853097698,1.581629866,0.625431621,0.279792526,11.59864692,26.22388735,6.69866115,3.766987047,6.169249416,8.246306643,7.895952967,14.78539339,0.739778056,1195.815164,24.2324768,17.77356282,384.3738003,78.45296782,36556.8021,0.005170036,0.7729,7236
NASQAN2015_172,NASQAN2015_172,31.42717,-81.60539,7,0.036244965,0,1.502163943,0,6.033021417,3.853097698,1.581629866,0.625431621,0.279792526,11.59864692,26.22388735,6.69866115,3.766987047,6.169249416,8.246306643,7.895952967,14.78539339,0.739778056,1195.815164,24.2324768,17.77356282,384.3738003,78.45296782,36556.8021,0.005170036,0.7729,7236
NASQAN2015_150,NASQAN2015_150,41.72167,-73.94111,7,0.018781524,0,2.419647211,0,4.428128713,2.595304349,1.431108108,0.498135904,0.210499799,37.53007758,11.80858387,15.39373323,0.461925713,0.830648113,11.51477334,3.09991401,7.146551821,0.630968233,1173.289683,13.10721204,7.359228928,623.8866392,61.92379614,30668.4378,0.022433487,1.1335,9334
NASQAN2015_114,NASQAN2015_114,38.92956,-77.11692,7,0.012880854,0,0.617194815,0,6.041784784,3.213158165,1.495575316,0.506721133,0.2277889,45.10281194,1.643971769,10.70346844,0.428617105,0.824293927,21.40818025,7.215012047,0.480069778,0.09135162,1025.929151,17.37853207,11.16853451,400.5275385,82.46930799,29966.9562,0.030567002,0.8324,8243
NASQAN2015_081,NASQAN2015_081,39.65791,-76.17418,7,0.010832211,0,1.095846801,0,5.424633243,2.490364181,1.200726695,0.493914635,0.328392173,43.83500598,2.515897557,15.00465046,1.010204486,0.61739586,14.80835839,9.351765134,1.500998162,0.321846239,1071.129869,14.43674213,8.746105648,527.4937819,57.85252558,70161.1119,0.033779396,0.9615,8632
NASQAN2015_052,NASQAN2015_052,37.67604,-121.26633,7,0.003430476,0.145872227,1.023344602,0.097645585,1.880374683,1.161232185,1.10597976,0.333429763,2.396705739,0.563606368,25.81709996,0.835812166,18.38155726,17.8791372,0.421988769,26.43778862,0.219927847,1.44436949,705.7944583,19.70222051,12.76421757,268.5326867,40.61162079,35855.0775,4.74E-04,0.3108,5623
NASQAN2015_047,NASQAN2015_047,37.67604,-121.26633,7,0.003430476,0.145872227,1.023344602,0.097645585,1.880374683,1.161232185,1.10597976,0.333429763,2.396705739,0.563606368,25.81709996,0.835812166,18.38155726,17.8791372,0.421988769,26.43778862,0.219927847,1.44436949,705.7944583,19.70222051,12.76421757,268.5326867,40.61162079,35855.0775,4.74E-04,0.3108,5623
